2024-05-13 01:19:12,850 INFO    StreamThr :2275465 [internal.py:wandb_internal():86] W&B internal server running at pid: 2275465, started at: 2024-05-13 01:19:12.850009
2024-05-13 01:19:12,852 DEBUG   HandlerThread:2275465 [handler.py:handle_request():146] handle_request: status
2024-05-13 01:19:12,854 INFO    WriterThread:2275465 [datastore.py:open_for_write():87] open: /raid/ganesh/racha_suraj/SF_test/Power-Mechanism-new/Higgs/wandb/run-20240513_011912-85h8cmpa/run-85h8cmpa.wandb
2024-05-13 01:19:12,854 DEBUG   SenderThread:2275465 [sender.py:send():379] send: header
2024-05-13 01:19:12,854 DEBUG   SenderThread:2275465 [sender.py:send():379] send: run
2024-05-13 01:19:13,483 INFO    SenderThread:2275465 [dir_watcher.py:__init__():211] watching files in: /raid/ganesh/racha_suraj/SF_test/Power-Mechanism-new/Higgs/wandb/run-20240513_011912-85h8cmpa/files
2024-05-13 01:19:13,483 INFO    SenderThread:2275465 [sender.py:_start_run_threads():1124] run started: 85h8cmpa with start time 1715543352.849737
2024-05-13 01:19:13,488 DEBUG   HandlerThread:2275465 [handler.py:handle_request():146] handle_request: check_version
2024-05-13 01:19:13,488 DEBUG   SenderThread:2275465 [sender.py:send_request():406] send_request: check_version
2024-05-13 01:19:13,531 DEBUG   HandlerThread:2275465 [handler.py:handle_request():146] handle_request: run_start
2024-05-13 01:19:13,575 DEBUG   HandlerThread:2275465 [system_info.py:__init__():26] System info init
2024-05-13 01:19:13,575 DEBUG   HandlerThread:2275465 [system_info.py:__init__():41] System info init done
2024-05-13 01:19:13,575 INFO    HandlerThread:2275465 [system_monitor.py:start():194] Starting system monitor
2024-05-13 01:19:13,576 INFO    SystemMonitor:2275465 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-13 01:19:13,576 INFO    HandlerThread:2275465 [system_monitor.py:probe():214] Collecting system info
2024-05-13 01:19:13,576 INFO    SystemMonitor:2275465 [interfaces.py:start():190] Started cpu monitoring
2024-05-13 01:19:13,576 INFO    SystemMonitor:2275465 [interfaces.py:start():190] Started disk monitoring
2024-05-13 01:19:13,577 INFO    SystemMonitor:2275465 [interfaces.py:start():190] Started gpu monitoring
2024-05-13 01:19:13,577 INFO    SystemMonitor:2275465 [interfaces.py:start():190] Started memory monitoring
2024-05-13 01:19:13,578 INFO    SystemMonitor:2275465 [interfaces.py:start():190] Started network monitoring
2024-05-13 01:19:13,636 DEBUG   HandlerThread:2275465 [system_info.py:probe():150] Probing system
2024-05-13 01:19:13,638 DEBUG   HandlerThread:2275465 [system_info.py:_probe_git():135] Probing git
2024-05-13 01:19:13,643 DEBUG   HandlerThread:2275465 [system_info.py:_probe_git():143] Probing git done
2024-05-13 01:19:13,643 DEBUG   HandlerThread:2275465 [system_info.py:probe():198] Probing system done
